feature,top_eigenvector_loading,abs_loading
x1278,0.4425858,0.4425858
x1243,0.35634205,0.35634205
x968,0.27508506,0.27508506
x187,0.2259473,0.2259473
x1229,0.20208296,0.20208296
x1271,0.1660483,0.1660483
x1338,0.1589942,0.1589942
x1074,0.15369825,0.15369825
x1253,0.1536215,0.1536215
x1483,0.14700371,0.14700371
x888,-0.12112137,0.12112137
x1435,0.10874257,0.10874257
x1455,0.10873812,0.10873812
x3,0.10871701,0.10871701
x1399,0.08663516,0.08663516
x548,-0.08533819,0.08533819
x917,-0.08533819,0.08533819
x1485,-0.08483368,0.08483368
x317,0.08468388,0.08468388
x1527,0.083130136,0.083130136
x582,-0.08258664,0.08258664
x351,0.08061238,0.08061238
x1437,0.07421675,0.07421675
x1081,0.072710976,0.072710976
x274,-0.07051901,0.07051901
x192,-0.07051901,0.07051901
x1532,0.06621379,0.06621379
x1240,-0.06530707,0.06530707
x1136,-0.06524221,0.06524221
x881,-0.06325466,0.06325466
x1362,0.063107096,0.063107096
x1022,0.055697717,0.055697717
x1213,0.054638937,0.054638937
x1344,0.053018034,0.053018034
x1180,0.05234794,0.05234794
x1513,0.051650684,0.051650684
x1143,0.04996528,0.04996528
x1484,0.049820326,0.049820326
x545,0.049065284,0.049065284
x457,0.04897566,0.04897566
x1167,0.04882831,0.04882831
x1454,0.048703946,0.048703946
x1492,-0.048538793,0.048538793
x377,-0.046376746,0.046376746
x1153,0.043456525,0.043456525
x346,0.042870257,0.042870257
x874,0.042403195,0.042403195
x1531,-0.04115363,0.04115363
x1488,0.04039547,0.04039547
x686,-0.040217184,0.040217184
x562,-0.040217184,0.040217184
x549,-0.040217184,0.040217184
x935,-0.040217184,0.040217184
x803,-0.040213067,0.040213067
x1207,0.040107645,0.040107645
x1047,0.03988606,0.03988606
x1422,0.039815698,0.039815698
x1198,0.039815698,0.039815698
x1154,0.039815698,0.039815698
x1118,0.039815698,0.039815698
x1108,0.039815698,0.039815698
x1394,0.039815698,0.039815698
x1424,0.039815698,0.039815698
x1218,0.039815698,0.039815698
x819,0.03871562,0.03871562
x663,0.03871562,0.03871562
x1458,-0.03845192,0.03845192
x1165,0.037921295,0.037921295
x1140,0.037921295,0.037921295
x951,0.037651595,0.037651595
x212,0.03697219,0.03697219
x1086,0.03675713,0.03675713
x972,0.036515944,0.036515944
x1385,0.03641562,0.03641562
x1309,0.036398686,0.036398686
x167,0.036398686,0.036398686
x1040,0.036398686,0.036398686
x190,0.036398686,0.036398686
x1146,0.036398686,0.036398686
x1391,0.036398686,0.036398686
