feature,agop_diagonal,abs_agop_diagonal
native_country_group_europe,1.0,1.0
capital_gain,0.7338277,0.7338277
education_num,0.6720227,0.6720227
hours_per_week,0.46637297,0.46637297
occupation_group_blue_collar,0.348209,0.348209
relationship_group_spouse,0.3347629,0.3347629
sex_Female,0.23897679,0.23897679
sex_Male,0.23893823,0.23893823
education_group_school_before_hs,0.17306316,0.17306316
occupation_group_sales_admin,0.16926318,0.16926318
education_group_high_school,0.14742804,0.14742804
workclass_group_self_employed,0.14735311,0.14735311
capital_loss,0.11799831,0.11799831
age,0.117624484,0.117624484
relationship_group_child,0.115905374,0.115905374
marital_group_married,0.10104838,0.10104838
education_group_some_college,0.09114875,0.09114875
workclass_group_private,0.083944455,0.083944455
marital_group_never_married,0.077591226,0.077591226
education_group_associate,0.07470119,0.07470119
native_country_group_central_america_caribbean,0.07428308,0.07428308
relationship_group_not_in_family,0.06940307,0.06940307
native_country_group_south_america,0.05977775,0.05977775
education_group_bachelors,0.059253078,0.059253078
occupation_group_managerial_professional,0.03778607,0.03778607
native_country_group_north_america,0.033582523,0.033582523
education_group_masters,0.027993903,0.027993903
race_White,0.024404306,0.024404306
occupation_group_technical_support,0.022658266,0.022658266
native_country_group_united_states,0.019115563,0.019115563
race_Black,0.016189704,0.016189704
native_country_group_asia,0.013169944,0.013169944
occupation_group_unknown,0.012991082,0.012991082
workclass_group_unknown,0.012991082,0.012991082
race_Amer-Indian-Eskimo,0.010478415,0.010478415
race_Asian-Pac-Islander,0.009997954,0.009997954
marital_group_married_absent,0.009034623,0.009034623
occupation_group_service,0.0060780025,0.0060780025
marital_group_previously_married,0.005092778,0.005092778
native_country_group_unknown,0.004444001,0.004444001
relationship_group_unmarried,0.0041612554,0.0041612554
race_Other,0.00074695447,0.00074695447
workclass_group_government,0.00034712005,0.00034712005
relationship_group_other_relative,0.0002071402,0.0002071402
education_group_doctorate,0.0,0.0
occupation_group_armed_forces,0.0,0.0
workclass_group_unpaid_or_never_worked,0.0,0.0
education_group_professional_school,0.0,0.0
native_country_group_other,0.0,0.0
