,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed
season,0.06469517,0.1722378,0.016023042,0.06657081,0.006164825,0.045824446,-0.192749,-0.015285591,0.05400895,0.06835838,-0.058762304,-0.037253447
yr,0.1722378,0.58407676,0.025039505,0.3151838,0.034566775,0.16212246,-0.6753874,-0.040017135,0.03933205,0.12595859,-0.22292744,-0.08708878
mnth,0.016023042,0.025039505,0.030001653,-0.010002436,0.0025876844,0.010289751,-0.032342106,-0.0008525126,-0.00052228104,-0.0015122121,0.0075952085,0.00023825152
hr,0.06657081,0.3151838,-0.010002436,0.6338291,0.004449376,-0.014384301,-0.12364237,0.008435126,-0.03194695,0.04938876,-0.14800447,-0.05479525
holiday,0.006164825,0.034566775,0.0025876844,0.004449376,0.008151961,0.01796746,-0.06846043,-0.003024306,-0.025005748,-0.013342131,-0.021507436,-0.0023917237
weekday,0.045824446,0.16212246,0.010289751,-0.014384301,0.01796746,0.09542413,-0.26265317,-0.011316145,-0.007391704,0.013578618,-0.055634547,-0.015720667
workingday,-0.192749,-0.6753874,-0.032342106,-0.12364237,-0.06846043,-0.26265317,1.0,0.055187635,0.047650833,-0.06624395,0.27526462,0.08837696
weathersit,-0.015285591,-0.040017135,-0.0008525126,0.008435126,-0.003024306,-0.011316145,0.055187635,0.018768469,-0.034311216,-0.03568666,0.029186321,0.013432851
temp,0.05400895,0.03933205,-0.00052228104,-0.03194695,-0.025005748,-0.007391704,0.047650833,-0.034311216,0.2778003,0.22318682,0.003369344,-0.055983473
atemp,0.06835838,0.12595859,-0.0015122121,0.04938876,-0.013342131,0.013578618,-0.06624395,-0.03568666,0.22318682,0.19843273,-0.047237862,-0.0652935
hum,-0.058762304,-0.22292744,0.0075952085,-0.14800447,-0.021507436,-0.055634547,0.27526462,0.029186321,0.003369344,-0.047237862,0.16611695,0.05641853
windspeed,-0.037253447,-0.08708878,0.00023825152,-0.05479525,-0.0023917237,-0.015720667,0.08837696,0.013432851,-0.055983473,-0.0652935,0.05641853,0.1069889
